"Species","CU_ID","Year","SpnForTrend_Total","SpnForTrend_Wild","DU_ID","CU_Name","CU_acro","SpnForAbd_Total","SpnForAbd_Wild","Recruits_Total","Recruits_Wild"
"Chinook","CK-05",1984,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1985,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1986,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1987,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1988,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1989,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1990,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1991,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1992,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",1993,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",2002,276,276,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",276,276,NA,NA
"Chinook","CK-05",2003,180,180,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",180,180,NA,NA
"Chinook","CK-05",2005,188,188,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",188,188,NA,NA
"Chinook","CK-05",2006,211,211,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",211,211,NA,NA
"Chinook","CK-05",2007,103,103,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",103,103,NA,NA
"Chinook","CK-05",2008,198,198,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",198,198,NA,NA
"Chinook","CK-05",2009,105,105,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",105,105,NA,NA
"Chinook","CK-05",2010,85,85,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",85,85,NA,NA
"Chinook","CK-05",2011,178,178,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",178,178,NA,NA
"Chinook","CK-05",2012,103,103,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",103,103,NA,NA
"Chinook","CK-05",2014,75,75,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",75,75,NA,NA
"Chinook","CK-05",2016,49,49,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",49,49,NA,NA
"Chinook","CK-05",2017,74,74,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",74,74,NA,NA
"Chinook","CK-05",2018,175,175,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",175,175,NA,NA
"Chinook","CK-05",2019,18,18,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",18,18,NA,NA
"Chinook","CK-05",2020,NA,NA,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",NA,NA,NA,NA
"Chinook","CK-05",2021,86,86,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",86,86,NA,NA
"Chinook","CK-05",2022,11,11,"DU4","Lower Fraser River-Upper Pitt_SU_1.3","LFR-UPITT",11,11,NA,NA
"Chinook","CK-06",1975,NA,NA,"DU5","Lower Fraser River_SU_1.3","LFR-summer",NA,NA,NA,NA
"Chinook","CK-06",1976,NA,NA,"DU5","Lower Fraser River_SU_1.3","LFR-summer",NA,NA,NA,NA
"Chinook","CK-06",1977,NA,NA,"DU5","Lower Fraser River_SU_1.3","LFR-summer",NA,NA,NA,NA
"Chinook","CK-06",1978,NA,NA,"DU5","Lower Fraser River_SU_1.3","LFR-summer",NA,NA,NA,NA
"Chinook","CK-06",1979,NA,NA,"DU5","Lower Fraser River_SU_1.3","LFR-summer",NA,NA,NA,NA
"Chinook","CK-06",1980,NA,NA,"DU5","Lower Fraser River_SU_1.3","LFR-summer",NA,NA,NA,NA
"Chinook","CK-06",1981,NA,NA,"DU5","Lower Fraser River_SU_1.3","LFR-summer",NA,NA,NA,NA
"Chinook","CK-06",1982,NA,NA,"DU5","Lower Fraser River_SU_1.3","LFR-summer",NA,NA,NA,NA
